game_id,week,game_date,home_team,away_team,predicted_viewers_millions,lower_bound_millions,upper_bound_millions,is_conference_game,is_rivalry,is_cfp_rematch,combined_brand,home_strength,away_strength,market_score
401856796,3,2026-09-19,Northwestern,Colorado,1.55,0.1,5.682,False,False,False,2.37,0.4362,0.3691,5.3423
401858489,7,2026-10-17,Maryland,Rutgers,1.539,0.1,5.671,True,False,False,2.496,0.3996,0.3965,5.3181
401858503,9,2026-10-31,Maryland,Illinois,1.52,0.1,5.652,True,False,False,2.45,0.3996,0.4778,5.3181
401858526,11,2026-11-14,UCLA,Illinois,1.517,0.1,5.649,True,False,False,3.025,0.3949,0.4778,5.3471
401858458,3,2026-09-19,UCLA,Purdue,1.455,0.1,5.587,True,False,False,3.101,0.3949,0.3194,5.3471
401858486,6,2026-10-10,Purdue,Minnesota,1.443,0.1,5.575,True,False,False,2.944,0.3194,0.4317,5.2311
401858451,3,2026-09-19,Minnesota,Akron,1.399,0.1,5.531,False,False,False,3.089,0.4317,0.1543,5.2781
401858533,12,2026-11-21,Purdue,Wisconsin,1.383,0.1,5.515,True,False,False,3.373,0.3194,0.4018,5.2311
401858515,10,2026-11-07,Purdue,Maryland,1.235,0.1,5.367,True,False,False,2.526,0.3194,0.3996,5.2311
401858482,6,2026-10-10,Northwestern,Ball State,1.23,0.1,5.362,False,False,False,2.37,0.4362,0.0933,5.3423
401858423,1,2026-09-03,Rutgers,Massachusetts,1.128,0.1,5.26,False,False,False,2.825,0.3965,0.0,5.3519
